Term_ID,Preferred_Term,Acronym,Category,Plain_Language_Definition,Technical_Notes,Related_Terms,Common_Confusion,Jurisdiction,Source_Type,Primary_Lesson,Definition_Status,Last_Review_Date,Next_Review_Date,Notes
014,Control,,Governance,An action designed to prevent detect or correct risk.,Controls may be manual automated preventive detective or corrective.,Decision gate; issue; risk,A written policy is not proof that a control operated.,General,Internal repository convention,Lesson 39,Reviewed,,,
015,Cost basis,,Tax and investing,The recorded starting value used in gain loss or tax calculations under applicable rules.,May include qualifying fees and adjusted lots.,Tax lot; realized gain,The displayed purchase value may not be the official tax basis.,Cross-border,Professional review required,Lesson 36,Professional review required,,,
016,Coverage limit,,Insurance,The maximum amount payable under stated insurance-policy conditions.,Sublimits and exclusions may reduce recovery.,Deductible; exclusion,The policy limit is not guaranteed claim payment.,Contract specific,Contract and insurer,Lesson 32,Reviewed,,,
017,Currency mismatch,,Currency,A condition in which income assets expenses or debt are denominated in different currencies.,Adverse exchange-rate movement may reduce affordability.,Currency exposure; conversion,Currency diversification does not automatically remove mismatch.,Cross-border,General educational usage,Lesson 34,Reviewed,,,
018,Decision gate,,Governance,A formal checkpoint that must be completed before an activity advances.,The gate should have evidence criteria and stop conditions.,Control; approval; stop condition,A checklist is not completed merely because it exists.,General,Internal repository convention,Lesson 28,Reviewed,,,
019,Deductible,,Insurance,The amount the insured must bear under stated policy conditions before or alongside eligible insurer payment.,May be fixed or percentage based.,Premium; coverage limit; exclusion,A deductible is not the same as an uncovered exclusion.,Contract specific,Contract and insurer,Lesson 32,Reviewed,,,
020,Debt-service coverage ratio,DSCR,Property finance,Net operating income divided by required debt service for an income-producing asset.,Calculation definitions must remain consistent.,Net operating income; debt service,A DSCR above 1 does not eliminate vacancy or repair risk.,General,General educational usage,Lesson 35,Reviewed,,,
021,Diversification,,Portfolio,Distribution of exposure across different assets or risks.,It reduces some risks but does not eliminate loss.,Concentration; asset allocation,Owning several overlapping funds may not provide true diversification.,General,General educational usage,Lesson 3,Reviewed,,,
022,Drawdown,,Performance,The decline from a prior portfolio peak to a later value.,Usually expressed as a percentage of the prior peak.,Maximum drawdown; recovery period,A drawdown is not necessarily a permanent loss unless sold or not recovered.,General,General educational usage,Lesson 3,Reviewed,,,
023,Due diligence,,Governance,A structured process of investigation and verification before a decision or transaction.,Scope should match transaction risk.,Verification; professional review,Collecting documents without analyzing them is not complete due diligence.,General,General educational usage,Lesson 28,Reviewed,,,
024,Effective annual rate,EAR,Debt and fixed income,A one-year rate that incorporates compounding under stated assumptions.,Used to compare rates quoted on different periodic bases.,Nominal rate; interest,A lower monthly rate is not always a lower effective annual cost.,General,General educational usage,Lesson 35,Reviewed,,,
025,Emergency reserve,,Liquidity,Money assigned to unexpected essential expenses or temporary income interruption.,It should remain accessible stable and separate from investment capital.,Reserve; sinking fund; investable capital,An emergency reserve should not normally fund optional investments.,General,Internal repository convention,Lesson 34,Reviewed,,,
026,Exchange-traded fund,ETF,ETF,A pooled investment vehicle whose shares trade on an exchange.,Structure domicile index replication and fees require review.,Index fund; NAV; expense ratio,An ETF is not automatically diversified or low risk.,General,General educational usage,Lesson 1,Reviewed,,,
027,Exclusion,,Insurance,A circumstance event asset or loss not covered by an insurance policy.,Exclusions must be read in the policy wording.,Coverage limit; deductible,An exclusion cannot be funded by a larger nominal policy limit.,Contract specific,Contract and insurer,Lesson 32,Reviewed,,,
028,Expense ratio,,ETF,The annual operating cost of a fund expressed as a percentage of assets.,Usually reflected in fund performance rather than billed separately.,Tracking difference; total cost,The expense ratio is not the only investment cost.,General,General educational usage,Lesson 2,Reviewed,,,
029,Financial goal,,Planning,A defined future financial outcome with a target amount deadline currency and priority.,The investment vehicle should follow the goal.,Funding gap; capital allocation,An ETF or property is a tool and not itself a financial goal.,General,Internal repository convention,Lesson 42,Reviewed,,,
030,Fixed income,,Fixed income,Investments with contractual or structured payment obligations such as certain deposits and bonds.,Market values may still fluctuate and issuers may default.,Interest; maturity; credit risk,Fixed income does not mean no risk or fixed market value.,General,General educational usage,Lesson 6,Reviewed,,,
031,Goal funding ratio,,Planning,Current dedicated funding divided by the target amount for a goal.,The ratio should use funds assigned exclusively to that goal.,Funding gap; dedicated funding,Double-counted reserves can overstate the ratio.,General,Internal repository convention,Lesson 42,Reviewed,,,
032,Gross amount,,Accounting,An amount measured before specified deductions.,The report should identify what remains undeducted.,Net amount; fees; taxes,Gross income is not spendable net income.,General,General educational usage,Lesson 29,Reviewed,,,
033,Internal rate of return,IRR,Investment mathematics,The discount rate that makes the net present value of a series of cash flows equal to zero.,Multiple or misleading results may occur with unusual cash flows.,NPV; money-weighted return,A high IRR does not prove a project is low risk.,General,General educational usage,Lesson 29,Reviewed,,,
034,Internal transfer,,Accounting,A movement between accounts owned or controlled by the same reporting household or entity.,It should be eliminated from consolidated income and performance.,Contribution; withdrawal,An internal transfer is not investment return.,General,Internal repository convention,Lesson 38,Reviewed,,,
035,Investable capital,,Planning,Money available for investment after required reserves obligations and committed spending are protected.,It may be much lower than net worth.,Net worth; liquid net worth; emergency reserve,Property equity is not automatically investable capital.,General,Internal repository convention,Lesson 31,Reviewed,,,
036,Leverage,,Debt and investing,Use of borrowed money or contractual exposure to increase the size of an investment position.,It magnifies both gains and losses.,Margin; debt; negative equity,Leverage does not create return without increasing risk.,General,General educational usage,Lesson 35,Reviewed,,,
037,Limit order,,Investment execution,An order specifying the maximum purchase price or minimum sale price acceptable.,Execution is not guaranteed.,Market order; stop order,A limit order can remain unfilled.,General,General educational usage,Lesson 36,Reviewed,,,
038,Liquid net worth,,Planning,The value of accessible financial assets minus relevant liabilities under a defined liquidity period.,The definition should state what is included and excluded.,Net worth; investable capital; liquidity,Liquid net worth is not the same as cash.,General,Internal repository convention,Lesson 31,Reviewed,,,
039,Liquidity,,Liquidity,The ability to convert an asset into usable funds within the required period without unacceptable loss or delay.,Liquidity depends on settlement access and market conditions.,Safety; solvency; cash,An asset can be liquid and volatile.,General,General educational usage,Lesson 34,Reviewed,,,
040,Loan-to-value ratio,LTV,Property finance,Loan balance divided by the defined property value.,The valuation date and method should be recorded.,Mortgage; equity,A low LTV does not eliminate payment risk.,General,General educational usage,Lesson 21,Reviewed,,,
041,Market order,,Investment execution,An order seeking execution at available market prices without guaranteeing the final price.,Thin or volatile markets may create slippage.,Limit order; slippage,A market order does not guarantee the displayed quote.,General,General educational usage,Lesson 36,Reviewed,,,
042,Market value,,Valuation,The amount an asset may reasonably command in a market at a specified date under stated assumptions.,It may differ from insured tax appraised or replacement value.,Appraised value; replacement cost,An asking price is not necessarily market value.,General,General educational usage,Lesson 29,Reviewed,,,
043,Maximum drawdown,,Performance,The largest peak-to-trough decline during the measured period.,Requires a defined valuation frequency and period.,Drawdown; recovery period,Maximum drawdown is historical and not a maximum possible future loss.,General,General educational usage,Lesson 38,Reviewed,,,
044,Money-weighted return,MWR,Performance,A return measure reflecting the timing and size of the investor's actual cash flows.,Closely related to IRR.,Time-weighted return; IRR,It may differ from manager or strategy performance.,General,General educational usage,Lesson 38,Reviewed,,,
045,Multi-factor authentication,MFA,Cybersecurity,Authentication requiring more than one type of evidence.,Methods vary in strength and recovery risk.,Password; recovery code,MFA reduces but does not eliminate account takeover risk.,General,General cybersecurity usage,Lesson 27,Reviewed,,,
046,Net amount,,Accounting,An amount measured after the deductions specified by the report.,The deductions included must be stated.,Gross amount; fees; taxes,Net of fees may still be before tax.,General,General educational usage,Lesson 29,Reviewed,,,
047,Net asset value,NAV,ETF,The value of a fund's assets minus liabilities under its stated calculation method.,Often expressed per share or unit.,ETF; market price; premium and discount,NAV is not always the same as the exchange trading price.,General,General educational usage,Lesson 1,Reviewed,,,
048,Net operating income,NOI,Property,Property operating income minus defined operating expenses generally before financing and certain taxes.,Expense definitions must be consistent.,DSCR; rental income; operating expense,NOI is not final cash flow to the owner.,General,General educational usage,Lesson 23,Reviewed,,,
049,Net present value,NPV,Investment mathematics,The present value of expected future cash flows minus initial investment and relevant costs.,Depends on discount rate and cash-flow assumptions.,IRR; discounted cash flow,A positive NPV does not eliminate uncertainty.,General,General educational usage,Lesson 29,Reviewed,,,
050,Net worth,,Planning,Total assets minus total liabilities at a specified valuation date.,Asset values should be conservative and liabilities current.,Liquid net worth; investable capital,Net worth is not immediately spendable capital.,General,General educational usage,Lesson 31,Reviewed,,,
051,Nominal return,,Performance,A return measured without adjusting for inflation.,May be positive while purchasing power declines.,Real return; inflation,Nominal return is not real wealth growth.,General,General educational usage,Lesson 38,Reviewed,,,
052,Opportunity reserve,,Liquidity,Limited capital assigned to qualified future opportunities after essential reserves are protected.,Use should follow a decision gate.,Emergency reserve; investable capital,Opportunity capital should not be counted as emergency funding.,General,Internal repository convention,Lesson 34,Reviewed,,,
053,Percentage point,,Investment mathematics,The arithmetic difference between two percentages.,A change from 40% to 45% is 5 percentage points.,Percentage; basis point,Five percentage points is not the same as a 5% relative increase.,General,General educational usage,Lesson 29,Reviewed,,,
054,Policy exception,,Governance,An approved documented deviation from an established policy requirement.,Should include risk approval conditions and expiration.,Policy violation; compensating control,Repeated exceptions may represent an unapproved policy change.,General,Internal repository convention,Lesson 39,Reviewed,,,
055,Policy violation,,Governance,An unapproved or prohibited departure from a policy requirement.,Requires issue assessment and corrective action.,Policy exception; issue,Calling a violation an exception does not make it approved.,General,Internal repository convention,Lesson 39,Reviewed,,,
056,Premium,,Insurance,The amount paid for insurance coverage under stated terms.,Payment does not prove every event is covered.,Coverage limit; deductible; exclusion,Premium is not the expected value of claims.,Contract specific,Contract and insurer,Lesson 32,Reviewed,,,
057,Principal,,Debt and fixed income,The original or remaining amount of a loan or investment before specified interest or return calculations.,Payment may contain both principal and interest.,Interest; payoff amount,A large payment may reduce principal only slightly.,General,General educational usage,Lesson 35,Reviewed,,,
058,Publication candidate,,Publishing,A reviewed package prepared for final approval but not yet intentionally published.,Should correspond to an exact commit and completed QA evidence.,Reviewed draft; published,A generated ZIP is not automatically a published release.,General,Internal repository convention,Lesson 45,Reviewed,,,
059,Real return,,Performance,A return adjusted for inflation.,May be calculated as one plus nominal return divided by one plus inflation minus one.,Nominal return; inflation,Nominal return minus inflation is only an approximation.,General,General educational usage,Lesson 38,Reviewed,,,
060,Rebalancing,,Portfolio,Adjusting holdings or cash flows to restore a portfolio toward approved allocation limits.,May use contributions withdrawals maturities or trades.,Allocation drift; target allocation,Rebalancing is not market prediction.,General,General educational usage,Lesson 37,Reviewed,,,
061,Replacement cost,,Insurance and property,The estimated cost to repair replace or rebuild an asset under stated assumptions.,May differ substantially from market value.,Market value; insured value,Property sale price is not necessarily the rebuilding cost.,Contract specific,Contract and insurer,Lesson 32,Reviewed,,,
062,Reserve,,Planning,Money assigned to a defined future or uncertain need.,Its purpose accessibility and permitted uses should be documented.,Emergency reserve; sinking fund,The same reserve cannot support several goals simultaneously.,General,Internal repository convention,Lesson 34,Reviewed,,,
063,Reviewed draft,,Publishing,Content that has completed substantive review but may still require technical presentation privacy or release review.,It is not an approved publication.,Publication candidate; published,A reviewed draft should not be labeled final without remaining reviews.,General,Internal repository convention,Lesson 44,Reviewed,,,
064,Risk,,Risk management,The possibility that actual outcomes differ materially from intended outcomes.,Risk includes financial operational legal tax security and behavioral effects.,Uncertainty; control; exposure,Risk is not limited to price volatility.,General,General educational usage,Lesson 3,Reviewed,,,
065,Settlement,,Investment execution,The formal completion of the exchange of cash and securities after a trade.,Settlement timing differs by market and product.,Trade date; settled cash,Execution does not mean funds are immediately withdrawable.,General,General educational usage,Lesson 36,Reviewed,,,
066,Sinking fund,,Planning,Money accumulated for a known future expense.,The expected amount and date should be documented.,Emergency reserve; goal funding,A predictable annual bill is not normally an emergency.,General,General educational usage,Lesson 34,Reviewed,,,
067,Slippage,,Investment execution,The difference between the expected transaction price and the actual execution price.,May result from volatility liquidity order size or delay.,Bid-ask spread; market order,Slippage is not necessarily a broker error.,General,General educational usage,Lesson 36,Reviewed,,,
068,Solvency,,Planning,The ability to meet long-term financial obligations.,A solvent household may still have insufficient short-term cash.,Liquidity; net worth,Positive net worth does not guarantee liquidity.,General,General educational usage,Lesson 34,Reviewed,,,
069,Stop condition,,Governance,A circumstance that prohibits or pauses further action until resolved.,Should be defined before the decision becomes urgent.,Decision gate; policy; control,A warning is not always a formal stop condition.,General,Internal repository convention,Lesson 28,Reviewed,,,
070,Target allocation,,Portfolio,The approved percentage assigned to each asset category.,Should be documented in the Investment Policy Statement.,Asset allocation; allocation drift,Current allocation should not be relabeled as the target to avoid rebalancing.,General,Internal repository convention,Lesson 37,Reviewed,,,
071,Time-weighted return,TWR,Performance,A return measure that reduces the effect of external contributions and withdrawals.,Used to evaluate strategy or manager performance.,Money-weighted return; benchmark,TWR may not reflect the investor's personal experience.,General,General educational usage,Lesson 38,Reviewed,,,
072,Total return,,Performance,Return including price change and investment income over the measured period.,The report should state whether fees and taxes are included.,Income return; capital return,Price appreciation alone is not total return.,General,General educational usage,Lesson 38,Reviewed,,,
073,Tracking difference,,ETF,The difference between a fund's return and its benchmark return over a period.,May reflect fees withholding cash drag and implementation.,Tracking error; expense ratio,Tracking difference and tracking error are not interchangeable.,General,General educational usage,Lesson 38,Reviewed,,,
074,Tracking error,,ETF,The variability of differences between a fund's return and its benchmark return.,It measures consistency rather than average underperformance.,Tracking difference,Low tracking error does not prove a fund is suitable.,General,General educational usage,Lesson 38,Reviewed,,,
075,Uncertainty,,Risk management,A condition in which future outcomes or their probabilities are not fully known.,May require scenario ranges and contingencies.,Risk; assumption,Assigning one probability does not eliminate uncertainty.,General,General educational usage,Lesson 29,Reviewed,,,
076,Vacancy,,Property,The period during which a rental property does not generate rent from an occupying tenant.,Vacancy assumptions should include marketing and turnover time.,Rental income; reserve,Loss-of-rent insurance may not cover ordinary vacancy.,General,General educational usage,Lesson 23,Reviewed,,,
077,Volatility,,Portfolio,The degree of price variation over time.,It may be measured statistically but does not capture every form of risk.,Drawdown; risk; uncertainty,Low volatility does not guarantee safety or liquidity.,General,General educational usage,Lesson 3,Reviewed,,,
